id,Details,NDVI,PLATFORM,Yield
148,HiRain_Hard_SP,0.967673775,TAMU,120
149,HiRain_Hard_SP,0.964325038,TAMU,110
150,HiRain_Hard_SP,0.960678822,TAMU,98
151,HiRain_Hard_SP,0.963539413,TAMU,103
152,HiRain_Hard_SP,0.94388678,TAMU,93
153,HiRain_Hard_SP,0.948055285,TAMU,102
154,HiRain_Hard_SP,0.951142666,TAMU,93
155,HiRain_Hard_SP,0.960334096,TAMU,119
156,HiRain_Hard_SP,0.972173845,TAMU,119
157,HiRain_Hard_SP,0.969579798,TAMU,111
158,HiRain_Hard_SP,0.967492355,TAMU,116
159,HiRain_Hard_SP,0.972317841,TAMU,116
160,HiRain_Hard_SP,0.956196067,TAMU,119
161,HiRain_Hard_SP,0.905063923,TAMU,80
162,HiRain_Hard_SP,0.9709744,TAMU,123
163,HiRain_Hard_SP,0.970406021,TAMU,121
164,HiRain_Hard_SP,0.957793489,TAMU,129
165,HiRain_Hard_SP,0.967863277,TAMU,124
166,HiRain_Hard_SP,0.959438711,TAMU,127
167,HiRain_Hard_SP,0.966926625,TAMU,112
168,HiRain_Hard_SP,0.971737445,TAMU,124
169,HiRain_Hard_SP,0.970190667,TAMU,93
170,HiRain_Hard_SP,0.964737955,TAMU,118
171,HiRain_Hard_SP,0.970605027,TAMU,126
172,HiRain_Hard_SP,0.965270822,TAMU,128
173,HiRain_Hard_SP,0.956597862,TAMU,123
174,HiRain_Hard_SP,0.963132351,TAMU,130
175,HiRain_Hard_SP,0.973182438,TAMU,129
176,HiRain_Hard_SP,0.966147907,TAMU,120
177,HiRain_Hard_SP,0.963195076,TAMU,128
178,HiRain_Hard_SP,0.961946824,TAMU,135
179,HiRain_Hard_SP,0.971866691,TAMU,129
180,HiRain_Hard_SP,0.968251998,TAMU,113
181,HiRain_Hard_SP,0.964252471,TAMU,111
182,HiRain_Hard_SP,0.962083688,TAMU,131
183,HiRain_Hard_SP,0.958145483,TAMU,107
184,HiRain_Hard_SP,0.962552019,TAMU,109
185,HiRain_Hard_SP,0.959625474,TAMU,110
186,HiRain_Hard_SP,0.958549947,TAMU,119
187,HiRain_Hard_SP,0.954012629,TAMU,117
188,HiRain_Hard_SP,0.951524013,TAMU,124
189,HiRain_Hard_SP,0.968625086,TAMU,123
190,HiRain_Hard_SP,0.971009487,TAMU,93
