id,Details,NDVI_TAMU,NDVI_WSU,Yield
158,HiRain_SWW_SP,0.954208764,0.651612145,109
159,HiRain_SWW_SP,0.958242389,0.65666735,111
160,HiRain_SWW_SP,0.944692437,0.599596597,83
161,HiRain_SWW_SP,0.965597111,0.70772543,112
162,HiRain_SWW_SP,0.946425511,0.594053196,93
163,HiRain_SWW_SP,0.937718631,0.556437028,91
164,HiRain_SWW_SP,0.952352107,0.635262116,92
165,HiRain_SWW_SP,0.948901622,0.60696855,88
166,HiRain_SWW_SP,0.929559602,0.535175601,79
167,HiRain_SWW_SP,0.93986351,0.558416265,74
168,HiRain_SWW_SP,0.920782704,0.487122462,77
169,HiRain_SWW_SP,0.963385095,0.684688927,115
170,HiRain_SWW_SP,0.95958471,0.66214925,99
171,HiRain_SWW_SP,0.934492294,0.534938655,106
172,HiRain_SWW_SP,0.961199684,0.666765488,109
173,HiRain_SWW_SP,0.96273783,0.676653241,103
174,HiRain_SWW_SP,0.955954414,0.648252901,113
175,HiRain_SWW_SP,0.949823731,0.625280001,92
176,HiRain_SWW_SP,0.958832664,0.682425393,118
177,HiRain_SWW_SP,0.949661318,0.624065233,100
178,HiRain_SWW_SP,0.958908178,0.665419381,120
179,HiRain_SWW_SP,0.964521829,0.698052269,118
180,HiRain_SWW_SP,0.969189144,0.728351606,122
181,HiRain_SWW_SP,0.962983687,0.687214334,117
182,HiRain_SWW_SP,0.96296341,0.693353974,127
183,HiRain_SWW_SP,0.971176771,0.748619558,133
184,HiRain_SWW_SP,0.967551175,0.719192599,129
185,HiRain_SWW_SP,0.970301919,0.741520294,136
186,HiRain_SWW_SP,0.967621762,0.731697511,127
187,HiRain_SWW_SP,0.96664542,0.715256924,125
188,HiRain_SWW_SP,0.969835123,0.734391115,111
189,HiRain_SWW_SP,0.967815392,0.726977787,115
190,HiRain_SWW_SP,0.965535868,0.707016947,111
191,HiRain_SWW_SP,0.964785706,0.704208144,113
192,HiRain_SWW_SP,0.96410458,0.713069826,109
193,HiRain_SWW_SP,0.958170723,0.656602716,124
194,HiRain_SWW_SP,0.968580432,0.732434124,111
195,HiRain_SWW_SP,0.959381058,0.680045864,108
196,HiRain_SWW_SP,0.946676186,0.605977749,103
197,HiRain_SWW_SP,0.9521025,0.629901699,110
198,HiRain_SWW_SP,0.961338765,0.683745633,106
199,HiRain_SWW_SP,0.96618656,0.707825019,109
200,HiRain_SWW_SP,0.962182941,0.685701102,103
201,HiRain_SWW_SP,0.972917315,0.757792813,121
202,HiRain_SWW_SP,0.97111738,0.740918472,114
203,HiRain_SWW_SP,0.963955244,0.686269929,108
204,HiRain_SWW_SP,0.965111272,0.703741498,114
205,HiRain_SWW_SP,0.969545003,0.733516107,116
206,HiRain_SWW_SP,0.971968706,0.749821877,117
207,HiRain_SWW_SP,0.973642308,0.770299568,128
208,HiRain_SWW_SP,0.966739896,0.715302822,129
209,HiRain_SWW_SP,0.97564658,0.773253584,128
210,HiRain_SWW_SP,0.955776445,0.642403816,96
211,HiRain_SWW_SP,0.966754355,0.718324473,116
212,HiRain_SWW_SP,0.95899387,0.692836073,99
213,HiRain_SWW_SP,0.94323558,0.614002245,86
214,HiRain_SWW_SP,0.951931681,0.659221868,100
215,HiRain_SWW_SP,0.964485203,0.704105217,111
216,HiRain_SWW_SP,0.951352067,0.645036702,97
217,HiRain_SWW_SP,0.955159299,0.644235703,102
218,HiRain_SWW_SP,0.948181486,0.615823551,84
219,HiRain_SWW_SP,0.932916711,0.614898515,85
220,HiRain_SWW_SP,0.937842437,0.568271925,91
221,HiRain_SWW_SP,0.951178785,0.627309411,94
222,HiRain_SWW_SP,0.932367076,0.558669598,74
223,HiRain_SWW_SP,0.92943337,0.530909399,82
224,HiRain_SWW_SP,0.927418809,0.545708405,78
225,HiRain_SWW_SP,0.944292377,0.594611455,92
226,HiRain_SWW_SP,0.947155658,0.616076228,88
227,HiRain_SWW_SP,0.935206637,0.563679426,94
228,HiRain_SWW_SP,0.937804488,0.581395403,90
229,HiRain_SWW_SP,0.941148303,0.579737079,76
230,HiRain_SWW_SP,0.948876652,0.614044076,95
231,HiRain_SWW_SP,0.92255985,0.490488892,93
232,HiRain_SWW_SP,0.966723492,0.719175796,97
233,HiRain_SWW_SP,0.961608141,0.684649992,98
234,HiRain_SWW_SP,0.967362917,0.732417616,96
235,HiRain_SWW_SP,0.968611447,0.737551094,104
236,HiRain_SWW_SP,0.960579083,0.68430875,108
237,HiRain_SWW_SP,0.953282767,0.6520107,93
238,HiRain_SWW_SP,0.956124063,0.669505309,96
239,HiRain_SWW_SP,0.956018072,0.681725942,86
240,HiRain_SWW_SP,0.964378525,0.721064306,97
241,HiRain_SWW_SP,0.950519742,0.644870296,87
242,HiRain_SWW_SP,0.966388517,0.745117327,88
243,HiRain_SWW_SP,0.914319402,0.526440019,71
244,HiRain_SWW_SP,0.963983576,0.710621512,81
245,HiRain_SWW_SP,0.958016238,0.684327659,86
246,HiRain_SWW_SP,0.95929532,0.678168869,83
247,HiRain_SWW_SP,0.957363511,0.670780783,85
248,HiRain_SWW_SP,0.955932639,0.673190611,90
249,HiRain_SWW_SP,0.943365216,0.609381589,78
250,HiRain_SWW_SP,0.954409122,0.669596484,98
1,Metribuzin_Trail_NoSpray,0.964426876,0.700872797,119
2,Metribuzin_Trail_NoSpray,0.967072717,0.725018829,119
3,Metribuzin_Trail_NoSpray,0.968804434,0.750275085,120
4,Metribuzin_Trail_NoSpray,0.976972433,0.801280757,127
5,Metribuzin_Trail_NoSpray,0.964195648,0.722979493,115
