id,Details,NDRE_TAMU,NDRE_WSU
26,CoAx_Spray,-0.194721154,0.231845067
27,CoAx_Spray,0.156388772,0.447405894
28,CoAx_Spray,0.229532947,0.501083379
29,CoAx_Spray,0.200058169,0.479029617
30,CoAx_Spray,0.160589083,0.454436564
31,CoAx_Spray,0.133257346,0.435789754
32,CoAx_Spray,-0.289901686,0.127562948
33,CoAx_Spray,0.13966681,0.445085371
34,CoAx_Spray,-0.272003682,0.187611516
35,CoAx_Spray,-0.285434536,0.226350321
36,CoAx_Spray,0.059738439,0.39234056
37,CoAx_Spray,0.173695529,0.456276121
38,CoAx_Spray,0.178975412,0.464016217
39,CoAx_Spray,0.211146315,0.486460534
40,CoAx_Spray,0.173406311,0.466340593
41,CoAx_Spray,0.124882555,0.43141743
42,CoAx_Spray,0.035502194,0.403888711
43,CoAx_Spray,0.125472246,0.434026874
44,CoAx_Spray,0.155988885,0.458313721
45,CoAx_Spray,0.110341587,0.427644692
1,HiRain_Har,0.075904814,0.389263837
2,HiRain_Har,0.172065289,0.454988785
3,HiRain_Har,0.096601574,0.42080442
4,HiRain_Har,0.204638618,0.478901493
5,HiRain_Har,0.148461122,0.447278364
6,HiRain_Har,0.187223744,0.46666627
7,HiRain_Har,0.176862942,0.463801236
8,HiRain_Har,0.175938977,0.456967708
9,HiRain_Har,0.094966554,0.410660366
10,HiRain_Har,0.095319991,0.399932761
11,HiRain_Har,0.116304832,0.4147398
12,HiRain_Har,0.165695438,0.456020599
13,HiRain_Har,0.150974168,0.445986254
14,HiRain_Har,0.204211114,0.488553841
15,HiRain_Har,0.225885789,0.502115496
16,HiRain_Har,0.165733929,0.461848429
17,HiRain_Har,0.228384523,0.506470183
18,HiRain_Har,0.18338718,0.470339266
19,HiRain_Har,0.121696458,0.423763162
20,HiRain_Har,0.205576726,0.490225968
21,HiRain_Har,0.139097809,0.439813916
22,HiRain_Har,0.203928011,0.488161876
23,HiRain_Har,0.022561811,0.382774985
24,HiRain_Har,0.121171699,0.440204768
25,HiRain_Har,0.13876227,0.437947394
26,HiRain_Har,0.169533071,0.462252426
27,HiRain_Har,0.230799895,0.503481002
28,HiRain_Har,0.147562102,0.452196915
29,HiRain_Har,0.129699329,0.434784203
30,HiRain_Har,0.192669976,0.476106933
31,HiRain_Har,0.214945942,0.493442689
32,HiRain_Har,0.229080108,0.501368028
33,HiRain_Har,0.138002532,0.434273688
34,HiRain_Har,-0.113148919,0.303814313
35,HiRain_Har,0.199182396,0.478539663
36,HiRain_Har,0.221636571,0.496877428
37,HiRain_Har,0.201008982,0.478450505
38,HiRain_Har,0.170492615,0.457767423
39,HiRain_Har,0.216385554,0.49700623
40,HiRain_Har,0.208517354,0.48983086
41,HiRain_Har,0.213126287,0.490134919
42,HiRain_Har,-0.123049843,0.314216017
43,HiRain_Har,0.236554253,0.509355766
44,HiRain_Har,0.257381595,0.52257424
45,HiRain_Har,0.208226344,0.481424118
46,HiRain_Har,0.25835876,0.516688152
47,HiRain_Har,0.199846138,0.477468187
48,HiRain_Har,0.257406435,0.521452352
49,HiRain_Har,0.226843369,0.494527506
50,HiRain_Har,0.198470809,0.477398552
51,HiRain_Har,0.079567793,0.411183784
52,HiRain_Har,0.21874596,0.489114274
53,HiRain_Har,0.097599164,0.419868639
54,HiRain_Har,0.205492584,0.484074527
55,HiRain_Har,0.143375306,0.442297092
56,HiRain_Har,0.074720147,0.408001093
57,HiRain_Har,0.135154941,0.430185058
58,HiRain_Har,0.24389841,0.51109715
59,HiRain_Har,0.188327995,0.472458058
60,HiRain_Har,0.225177983,0.499458564
61,HiRain_Har,0.122804173,0.428680469
62,HiRain_Har,0.139344868,0.434895925
