id,Details,NDRE_TAMU,NDRE_WSU,Yield
178,HiRain_SWW_SP,0.199763991,0.385098863,120
179,HiRain_SWW_SP,0.211537836,0.389116418,118
180,HiRain_SWW_SP,0.254794821,0.423250502,122
181,HiRain_SWW_SP,0.24846382,0.418364557,117
182,HiRain_SWW_SP,0.227581011,0.404760928,127
183,HiRain_SWW_SP,0.243485056,0.416050367,133
184,HiRain_SWW_SP,0.235932423,0.40791549,129
185,HiRain_SWW_SP,0.267750172,0.437573758,136
186,HiRain_SWW_SP,0.229722012,0.411096296,127
187,HiRain_SWW_SP,0.243477759,0.416960754,125
188,HiRain_SWW_SP,0.2717347,0.439568772,111
189,HiRain_SWW_SP,0.259358584,0.433910399,115
190,HiRain_SWW_SP,0.235108215,0.41566363,111
191,HiRain_SWW_SP,0.216035203,0.400089706,113
192,HiRain_SWW_SP,0.22811242,0.417155643,109
193,HiRain_SWW_SP,0.219966673,0.398515122,124
194,HiRain_SWW_SP,0.246660364,0.419583772,111
195,HiRain_SWW_SP,0.199501645,0.383251895,108
196,HiRain_SWW_SP,0.180014814,0.365711065,103
197,HiRain_SWW_SP,0.187497759,0.369032102,110
198,HiRain_SWW_SP,0.26449062,0.437084375,106
199,HiRain_SWW_SP,0.275206594,0.442893267,109
200,HiRain_SWW_SP,0.248091955,0.424816555,103
201,HiRain_SWW_SP,0.29940687,0.466294727,121
202,HiRain_SWW_SP,0.303357741,0.470890358,114
203,HiRain_SWW_SP,0.267354432,0.441127776,108
204,HiRain_SWW_SP,0.270236657,0.446148987,114
205,HiRain_SWW_SP,0.298299159,0.466908489,116
206,HiRain_SWW_SP,0.296306722,0.463407539,117
207,HiRain_SWW_SP,0.293962782,0.465438797,128
208,HiRain_SWW_SP,0.273644444,0.446817432,129
209,HiRain_SWW_SP,0.328182494,0.482673903,128
210,HiRain_SWW_SP,0.195524111,0.380497417,96
211,HiRain_SWW_SP,0.25579113,0.43204785,116
212,HiRain_SWW_SP,0.225012248,0.417397219,99
213,HiRain_SWW_SP,0.146695798,0.363263823,86
214,HiRain_SWW_SP,0.167566057,0.371630519,100
215,HiRain_SWW_SP,0.206758393,0.394179011,111
216,HiRain_SWW_SP,0.161207067,0.365476243,97
217,HiRain_SWW_SP,0.179531022,0.372737566,102
218,HiRain_SWW_SP,0.100186219,0.309588617,84
219,HiRain_SWW_SP,0.114231495,0.355119371,85
220,HiRain_SWW_SP,0.119432166,0.333437389,91
