id,Details,NDRE,PLATFORM,Yield
22,HiRain_SWW_SP,0.140224807,TAMU,83
23,HiRain_SWW_SP,0.183847174,TAMU,94
24,HiRain_SWW_SP,0.146592937,TAMU,73
25,HiRain_SWW_SP,0.19933886,TAMU,80
26,HiRain_SWW_SP,0.195343559,TAMU,83
27,HiRain_SWW_SP,0.15719198,TAMU,79
28,HiRain_SWW_SP,0.201945929,TAMU,86
29,HiRain_SWW_SP,0.295855726,TAMU,104
30,HiRain_SWW_SP,0.222249645,TAMU,91
31,HiRain_SWW_SP,0.26571975,TAMU,95
32,HiRain_SWW_SP,0.240204503,TAMU,87
33,HiRain_SWW_SP,0.214420848,TAMU,89
34,HiRain_SWW_SP,0.210520086,TAMU,85
35,HiRain_SWW_SP,0.209710431,TAMU,89
36,HiRain_SWW_SP,0.203708733,TAMU,87
37,HiRain_SWW_SP,0.175359132,TAMU,65
38,HiRain_SWW_SP,0.234489967,TAMU,81
39,HiRain_SWW_SP,0.238912891,TAMU,94
40,HiRain_SWW_SP,0.291864302,TAMU,100
41,HiRain_SWW_SP,0.27762576,TAMU,105
42,HiRain_SWW_SP,0.262224224,TAMU,68
43,HiRain_SWW_SP,0.196518503,TAMU,67
44,HiRain_SWW_SP,0.2190982,TAMU,109
45,HiRain_SWW_SP,0.176305299,TAMU,90
46,HiRain_SWW_SP,0.22152469,TAMU,105
47,HiRain_SWW_SP,0.145145597,TAMU,95
48,HiRain_SWW_SP,0.198510938,TAMU,93
49,HiRain_SWW_SP,0.235888552,TAMU,103
50,HiRain_SWW_SP,0.232603683,TAMU,96
51,HiRain_SWW_SP,0.123891376,TAMU,90
52,HiRain_SWW_SP,0.223132427,TAMU,92
53,HiRain_SWW_SP,0.159659301,TAMU,74
54,HiRain_SWW_SP,0.20601681,TAMU,84
55,HiRain_SWW_SP,0.250529626,TAMU,89
56,HiRain_SWW_SP,0.227600317,TAMU,87
57,HiRain_SWW_SP,0.207762158,TAMU,83
58,HiRain_SWW_SP,0.255487886,TAMU,94
59,HiRain_SWW_SP,0.232244768,TAMU,88
60,HiRain_SWW_SP,0.234788686,TAMU,93
61,HiRain_SWW_SP,0.20410863,TAMU,77
62,HiRain_SWW_SP,0.277812255,TAMU,99
63,HiRain_SWW_SP,0.260109258,TAMU,98
64,HiRain_SWW_SP,0.2661587,TAMU,103
65,HiRain_SWW_SP,0.212889547,TAMU,90
66,HiRain_SWW_SP,0.261219604,TAMU,102
67,HiRain_SWW_SP,0.10790337,TAMU,59
68,HiRain_SWW_SP,0.129157129,TAMU,63
69,HiRain_SWW_SP,0.231372936,TAMU,105
70,HiRain_SWW_SP,0.223037935,TAMU,80
71,HiRain_SWW_SP,0.169788476,TAMU,92
72,HiRain_SWW_SP,0.148781715,TAMU,73
73,HiRain_SWW_SP,0.0990982,TAMU,76
74,HiRain_SWW_SP,0.052180616,TAMU,61
75,HiRain_SWW_SP,0.056618926,TAMU,71
76,HiRain_SWW_SP,-0.011503846,TAMU,41
77,HiRain_SWW_SP,0.149167754,TAMU,89
78,HiRain_SWW_SP,0.134280452,TAMU,86
79,HiRain_SWW_SP,0.108718821,TAMU,88
80,HiRain_SWW_SP,0.160267622,TAMU,91
81,HiRain_SWW_SP,0.234549538,TAMU,108
82,HiRain_SWW_SP,0.135902006,TAMU,75
83,HiRain_SWW_SP,0.081028618,TAMU,61
84,HiRain_SWW_SP,0.116560994,TAMU,62
85,HiRain_SWW_SP,0.257702801,TAMU,89
86,HiRain_SWW_SP,0.164831831,TAMU,93
87,HiRain_SWW_SP,0.160757415,TAMU,101
88,HiRain_SWW_SP,0.142640171,TAMU,95
89,HiRain_SWW_SP,0.132573953,TAMU,79
90,HiRain_SWW_SP,0.141016193,TAMU,89
91,HiRain_SWW_SP,0.271474045,TAMU,104
92,HiRain_SWW_SP,0.215084715,TAMU,92
93,HiRain_SWW_SP,0.13467979,TAMU,85
94,HiRain_SWW_SP,0.179936097,TAMU,86
95,HiRain_SWW_SP,0.156221331,TAMU,102
96,HiRain_SWW_SP,0.136692919,TAMU,88
97,HiRain_SWW_SP,0.169322499,TAMU,94
98,HiRain_SWW_SP,0.194876786,TAMU,89
99,HiRain_SWW_SP,0.081953083,TAMU,68
100,HiRain_SWW_SP,0.148292558,TAMU,83
101,HiRain_SWW_SP,0.169281636,TAMU,98
102,HiRain_SWW_SP,0.130711836,TAMU,85
103,HiRain_SWW_SP,0.113435192,TAMU,86
104,HiRain_SWW_SP,0.107681448,TAMU,80
105,HiRain_SWW_SP,0.017157233,TAMU,67
106,HiRain_SWW_SP,-0.012215783,TAMU,56
107,HiRain_SWW_SP,0.064552326,TAMU,40
108,HiRain_SWW_SP,0.081443485,TAMU,65
109,HiRain_SWW_SP,0.119241026,TAMU,72
110,HiRain_SWW_SP,0.145999098,TAMU,77
111,HiRain_SWW_SP,0.131435277,TAMU,91
112,HiRain_SWW_SP,0.217151601,TAMU,84
113,HiRain_SWW_SP,0.220332683,TAMU,96
114,HiRain_SWW_SP,0.252601926,TAMU,87
115,HiRain_SWW_SP,0.202906933,TAMU,95
116,HiRain_SWW_SP,0.161475002,TAMU,91
117,HiRain_SWW_SP,0.082869072,TAMU,83
118,HiRain_SWW_SP,0.091097519,TAMU,80
119,HiRain_SWW_SP,0.107339915,TAMU,73
120,HiRain_SWW_SP,0.172943918,TAMU,80
121,HiRain_SWW_SP,0.155942919,TAMU,78
122,HiRain_SWW_SP,0.158425558,TAMU,100
123,HiRain_SWW_SP,0.147327511,TAMU,75
124,HiRain_SWW_SP,0.21406544,TAMU,92
125,HiRain_SWW_SP,0.125984845,TAMU,74
126,HiRain_SWW_SP,0.183468721,TAMU,78
127,HiRain_SWW_SP,0.199130629,TAMU,101
128,HiRain_SWW_SP,0.162461311,TAMU,91
129,HiRain_SWW_SP,0.200888163,TAMU,104
130,HiRain_SWW_SP,0.205525946,TAMU,91
